hsa	Homo sapiens (human)
pno	Phaeosphaeria nodorum
pte	Pyrenophora teres
bze	Bipolaris zeicola
bsc	Bipolaris sorokiniana
bor	Bipolaris oryzae
ztr	Zymoseptoria tritici
pfj	Pseudocercospora fijiensis
bcom	Baudoinia compniacensis
npa	Neofusicoccum parvum
tml	Tuber melanosporum
spo	Schizosaccharomyces pombe (fission yeast)
cne	Cryptococcus neoformans JEC21
cnb	Cryptococcus neoformans B-3501A
cgi	Cryptococcus gattii
tms	Tremella mesenterica
ppl	Postia placenta
dsq	Dichomitus squalens
shs	Stereum hirsutum
pco	Phanerochaete carnosa
psq	Punctularia strigosozonata
adl	Auricularia delicata
fme	Fomitiporia mediterranea
gtr	Gloeophyllum trabeum
lbc	Laccaria bicolor
mpr	Moniliophthora perniciosa
mrr	Moniliophthora roreri
cci	Coprinopsis cinerea
scm	Schizophyllum commune
abp	Agaricus bisporus var. burnettii JB137-S8
abv	Agaricus bisporus var. bisporus H97
cput	Coniophora puteana
sla	Serpula lacrymans
uma	Ustilago maydis
pfp	Pseudozyma flocculosa
mgl	Malassezia globosa
pgr	Puccinia graminis
mlr	Melampsora larici-populina
wse	Wallemia sebi
ecu	Encephalitozoon cuniculi
ein	Encephalitozoon intestinalis
ehe	Encephalitozoon hellem
nce	Nosema ceranae
mbr	Monosiga brevicollis
ddi	Dictyostelium discoideum (cellular slime mold)
dpp	Dictyostelium purpureum (cellular slime mold)
dfa	Dictyostelium fasciculatum (cellular slime mold)
ehi	Entamoeba histolytica
edi	Entamoeba dispar
acan	Acanthamoeba castellanii
pfa	Plasmodium falciparum 3D7
pfd	Plasmodium falciparum Dd2
pfh	Plasmodium falciparum HB3
pyo	Plasmodium yoelii
pcb	Plasmodium chabaudi
pbe	Plasmodium berghei
pkn	Plasmodium knowlesi
pvx	Plasmodium vivax
pcy	Plasmodium cynomolgi
tan	Theileria annulata
tpv	Theileria parva
bbo	Babesia bovis
beq	Babesia equi
cpv	Cryptosporidium parvum
cho	Cryptosporidium hominis
tgo	Toxoplasma gondii
tet	Tetrahymena thermophila
ptm	Paramecium tetraurelia
pti	Phaeodactylum tricornutum
tps	Thalassiosira pseudonana
pif	Phytophthora infestans
ngd	Nannochloropsis gaditana
ehx	Emiliania huxleyi
gtt	Guillardia theta
tbr	Trypanosoma brucei
tcr	Trypanosoma cruzi
lma	Leishmania major
lif	Leishmania infantum
ldo	Leishmania donovani
lmi	Leishmania mexicana
lbz	Leishmania braziliensis
ngr	Naegleria gruberi
tva	Trichomonas vaginalis
gla	Giardia lamblia
eco	Escherichia coli K-12 MG1655
ecj	Escherichia coli K-12 W3110
ecd	Escherichia coli K-12 DH10B
ebw	Escherichia coli K-12 MC4100(MuLac) BW2952
ecok	Escherichia coli K-12 MDS42
ece	Escherichia coli O157:H7 EDL933 (EHEC)
ecs	Escherichia coli O157:H7 Sakai (EHEC)
ecf	Escherichia coli O157:H7 EC4115 (EHEC)
etw	Escherichia coli O157:H7 TW14359 (EHEC)
elx	Escherichia coli O157:H7 Xuzhou21 (EHEC)
eoj	Escherichia coli O26:H11 11368 (EHEC)
eoi	Escherichia coli O111:H- 11128 (EHEC)
eoh	Escherichia coli O103:H2 12009 (EHEC)
ecg	Escherichia coli O127:H6 E2348/69 (EPEC)
eok	Escherichia coli O55:H7 CB9615 (EPEC)
elr	Escherichia coli O55:H7 RM12579 (EPEC)
ecc	Escherichia coli O6:K2:H1 CFT073 (UPEC)
ecp	Escherichia coli O6:K15:H31 536 (UPEC)
eci	Escherichia coli O18:K1:H7 UTI89 (UPEC)
ecv	Escherichia coli APEC O1 (APEC)
ecx	Escherichia coli O9 HS (commensal)
ecw	Escherichia coli E24377A (ETEC)
ecm	Escherichia coli SMS-3-5 (environmental)
ecy	Escherichia coli O152:H28 SE11 (commensal)
ecr	Escherichia coli O8 IAI1 (commensal)
ecq	Escherichia coli O81 ED1a (commensal)
eck	Escherichia coli 55989 (EAEC)
ect	Escherichia coli O7:K1 IAI39 (ExPEC)
eoc	Escherichia coli O7:K1 CE10
eum	Escherichia coli O17:K52:H18 UMN026 (ExPEC)
ecz	Escherichia coli O45:K1:H7 S88 (ExPEC)
elo	Escherichia coli O44:H18 042 (EAEC)
eln	Escherichia coli O83:H1 NRG 857C
elh	Escherichia coli O78:H11:K80 H10407 (ETEC)
ese	Escherichia coli O150:H5 SE15 (commensal)
eso	Escherichia coli O104:H4 2009EL-2071
esm	Escherichia coli O104:H4 2009EL-2050
esl	Escherichia coli O104:H4 2011C-3493
ecl	Escherichia coli ATCC 8739
ebr	Escherichia coli B REL606
ebd	Escherichia coli BL21-Gold(DE3)pLysS AG
eko	Escherichia coli KO11FL
ekf	Escherichia coli KO11FL
eab	Escherichia coli ABU 83972
edh	Escherichia coli DH1
edj	Escherichia coli DH1
eih	Escherichia coli IHE3034
ena	Escherichia coli NA114
elu	Escherichia coli UM146
eun	Escherichia coli UMNK88
elw	Escherichia coli W
ell	Escherichia coli W
elc	Escherichia coli clone D i14
eld	Escherichia coli clone D i2
elp	Escherichia coli P12b
ebl	Escherichia coli BL21(DE3)
ebe	Escherichia coli BL21(DE3)
elf	Escherichia coli LF82
ecoa	Escherichia coli APEC O78
ecol	Escherichia coli LY180
ecoi	Escherichia coli PMV-1
ecoj	Escherichia coli JJ1886
ecoo	Escherichia coli O145:H28 RM13514 (EHEC)
ecoh	Escherichia coli O145:H28 RM13516 (EHEC)
efe	Escherichia fergusonii
sty	Salmonella enterica subsp. enterica serovar Typhi CT18
stt	Salmonella enterica subsp. enterica serovar Typhi Ty2
sex	Salmonella enterica subsp. enterica serovar Typhi P-stx-12
sent	Salmonella enterica subsp. enterica serovar Typhi Ty21a
stm	Salmonella enterica subsp. enterica serovar Typhimurium LT2
seo	Salmonella enterica subsp. enterica serovar Typhimurium 14028S
sev	Salmonella enterica subsp. enterica serovar Typhimurium D23580
sey	Salmonella enterica subsp. enterica serovar Typhimurium SL1344
sem	Salmonella enterica subsp. enterica serovar Typhimurium T000240
sej	Salmonella enterica subsp. enterica serovar Typhimurium UK-1
seb	Salmonella enterica subsp. enterica serovar Typhimurium ST4/74
sef	Salmonella enterica subsp. enterica serovar Typhimurium 798
setu	Salmonella enterica subsp. enterica serovar Typhimurium U288
setc	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921
seen	Salmonella enterica subsp. enterica serovar Typhimurium 08-1736
senr	Salmonella enterica subsp. enterica serovar Typhimurium DT2
send	Salmonella enterica subsp. enterica serovar Typhimurium DT104
spt	Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
sek	Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
spq	Salmonella enterica subsp. enterica serovar Paratyphi B
sei	Salmonella enterica subsp. enterica serovar Paratyphi C
sec	Salmonella enterica subsp. enterica serovar Choleraesuis
seh	Salmonella enterica subsp. enterica serovar Heidelberg SL476
shb	Salmonella enterica subsp. enterica serovar Heidelberg B182
senh	Salmonella enterica subsp. enterica Serovar Heidelberg CFSAN002069
seeh	Salmonella enterica subsp. enterica serovar Heidelberg 41578
see	Salmonella enterica subsp. enterica serovar Newport SL254
senn	Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
sew	Salmonella enterica subsp. enterica serovar Schwarzengrund
sea	Salmonella enterica subsp. enterica serovar Agona SL483
sens	Salmonella enterica subsp. enterica serovar Agona 24249
sed	Salmonella enterica subsp. enterica serovar Dublin
seg	Salmonella enterica subsp. enterica serovar Gallinarum 287/91
sel	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078
sega	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67
set	Salmonella enterica subsp. enterica serovar Enteritidis
senj	Salmonella enterica subsp. enterica serovar Javiana
seec	Salmonella enterica subsp. enterica Serovar Cubana
seeb	Salmonella enterica subsp. enterica serovar Bareilly
seep	Salmonella enterica subsp. enterica serovar Pullorum
senb	Salmonella enterica subsp. enterica serovar Bovismorbificans
sene	Salmonella enterica subsp. enterica serovar Thompson
ses	Salmonella enterica subsp. arizonae
sbg	Salmonella bongori NCTC 12419
sbz	Salmonella bongori N268-08
sbv	Salmonella bongori serovar 48:z41:--
ype	Yersinia pestis CO92 (biovar Orientalis)
ypk	Yersinia pestis KIM10+ (biovar Mediaevalis)
ypa	Yersinia pestis Antiqua (biovar Antiqua)
ypn	Yersinia pestis Nepal516 (biovar Antiqua)
ypm	Yersinia pestis 91001 (biovar Microtus)
ypp	Yersinia pestis Pestoides F
ypg	Yersinia pestis Angola
ypz	Yersinia pestis Z176003
ypt	Yersinia pestis A1122
ypd	Yersinia pestis D106004
ypx	Yersinia pestis D182038
yph	Yersinia pestis biovar Medievalis Harbin 35
yps	Yersinia pseudotuberculosis IP32953 (serotype I)
ypi	Yersinia pseudotuberculosis IP31758 (serotype O:1b)
ypy	Yersinia pseudotuberculosis YPIII
ypb	Yersinia pseudotuberculosis PB1/+
ypq	Yersinia pseudotuberculosis ATCC 6904
yen	Yersinia enterocolitica subsp. enterocolitica 8081
yep	Yersinia enterocolitica subsp. palearctica 105.5R(r)
yey	Yersinia enterocolitica subsp. palearctica Y11
yel	Yersinia enterocolitica LC20
ysi	Yersinia similis
sfl	Shigella flexneri 301 (serotype 2a)
sfx	Shigella flexneri 2457T (serotype 2a)
sfv	Shigella flexneri 8401 (serotype 5b)
sfe	Shigella flexneri 2002017 (serotype Fxv)
sfn	Shigella flexneri 2003036
sfs	Shigella flexneri Shi06HN006 (serotype Yv)
ssn	Shigella sonnei Ss046
ssj	Shigella sonnei 53G
sbo	Shigella boydii Sb227
sbc	Shigella boydii CDC 3083-94
sdy	Shigella dysenteriae Sd197
sdz	Shigella dysenteriae 1617
eca	Pectobacterium atrosepticum SCRI1043
patr	Pectobacterium atrosepticum JG10-08
pato	Pectobacterium atrosepticum 21A
pct	Pectobacterium carotovorum subsp. carotovorum PC1
pcc	Pectobacterium carotovorum subsp. carotovorum PCC21
pwa	Pectobacterium wasabiae
pec	Pectobacterium sp. SCC3193
eta	Erwinia tasmaniensis
epy	Erwinia pyrifoliae Ep1/96
epr	Erwinia pyrifoliae DSM 12163
eam	Erwinia amylovora CFBP1430
eay	Erwinia amylovora ATCC 49946
ebi	Erwinia billingiae
erj	Erwinia sp. Ejp617
plu	Photorhabdus luminescens
pay	Photorhabdus asymbiotica
buc	Buchnera aphidicola APS (Acyrthosiphon pisum)
bap	Buchnera aphidicola 5A (Acyrthosiphon pisum)
bau	Buchnera aphidicola Tuc7 (Acyrthosiphon pisum)
baw	Buchnera aphidicola JF98 (Acyrthosiphon pisum)
bajc	Buchnera aphidicola JF99 (Acyrthosiphon pisum)
bua	Buchnera aphidicola LL01 (Acyrthosiphon pisum)
bup	Buchnera aphidicola TLW03 (Acyrthosiphon pisum)
bak	Buchnera aphidicola Ak (Acyrthosiphon kondoi)
buh	Buchnera aphidicola Ua (Uroleucon ambrosiae)
bapf	Buchnera aphidicola F009 (Myzus persicae)
bapg	Buchnera aphidicola G002 (Myzus persicae)
bapu	Buchnera aphidicola USDA (Myzus persicae)
bapw	Buchnera aphidicola W106 (Myzus persicae)
bas	Buchnera aphidicola Sg (Schizaphis graminum)
bab	Buchnera aphidicola Bp (Baizongia pistaciae)
bcc	Buchnera aphidicola Cc (Cinara cedri)
baj	Buchnera aphidicola (Cinara tujafilina)
wbr	Wigglesworthia glossinidia brevipalpis (Glossina brevipalpis)
wgl	Wigglesworthia glossinidia morsitans (Glossina morsitans)
sgl	Sodalis glossinidius (Glossina spp.)
sod	Sodalis sp. HS1
pes	Candidatus Sodalis pierantonius
ent	Enterobacter sp. 638
enc	Enterobacter cloacae subsp. cloacae ATCC 13047
eno	Enterobacter cloacae subsp. cloacae ENHKU01
eclo	Enterobacter cloacae subsp. cloacae NCTC 9394
eec	Enterobacter cloacae EcWSU1
enl	Enterobacter cloacae subsp. dissolvens SDM
ecla	Enterobacter cloacae ECNIH3
eclc	Enterobacter cloacae ECR091
esc	Enterobacter lignolyticus
eas	Enterobacter asburiae LF7a
eau	Enterobacter asburiae L1
eae	Enterobacter aerogenes KCTC 2190
ear	Enterobacter aerogenes EA1509E
enr	Enterobacter sp. R4-368
esa	Cronobacter sakazakii ATCC BAA-894
csk	Cronobacter sakazakii ES15
csz	Cronobacter sakazakii Sp291
csi	Cronobacter sakazakii CMCC 45402
ctu	Cronobacter turicensis
kpn	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
kpu	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044
kpm	Klebsiella pneumoniae subsp. pneumoniae HS11286
kpp	Klebsiella pneumoniae subsp. pneumoniae 1084
kpk	Klebsiella pneumoniae subsp. pneumoniae KP5-1
kph	Klebsiella pneumoniae subsp. pneumoniae KPNIH24
kpz	Klebsiella pneumoniae subsp. pneumoniae KPNIH27
kpq	Klebsiella pneumoniae subsp. pneumoniae KPR0928
kpe	Klebsiella pneumoniae 342
kpo	Klebsiella pneumoniae KCTC 2242
kpr	Klebsiella pneumoniae
kpj	Klebsiella pneumoniae JM45
kpi	Klebsiella pneumoniae CG43
kpa	Klebsiella pneumoniae 30660/NJST258_1
kps	Klebsiella pneumoniae 30684/NJST258_2
kva	Klebsiella variicola
kox	Klebsiella oxytoca KCTC 1686
koe	Klebsiella oxytoca E718
koy	Klebsiella oxytoca HKOPL1
kok	Klebsiella oxytoca KONIH1
kom	Klebsiella oxytoca M1
cko	Citrobacter koseri
cro	Citrobacter rodentium
cfd	Citrobacter freundii
spe	Serratia proteamaculans
srr	Serratia plymuthica AS9
srl	Serratia plymuthica 4Rx13
sry	Serratia plymuthica S13
srs	Serratia sp. AS12
sra	Serratia sp. AS13
ssz	Serratia symbiotica
smaf	Serratia marcescens FGI94
smw	Serratia marcescens WW4
slq	Serratia liquefaciens
serr	Serratia sp. ATCC 39006
sfo	Serratia fonticola
serf	Serratia sp. FS14
sers	Serratia sp. SCBI
pmr	Proteus mirabilis HI4320
pmib	Proteus mirabilis BB2000
eic	Edwardsiella ictaluri
etr	Edwardsiella tarda EIB202
etd	Edwardsiella tarda FL6-60
ete	Edwardsiella tarda 080813
etc	Edwardsiella piscicida C07-087
bfl	Candidatus Blochmannia floridanus (Camponotus floridanus)
bpn	Candidatus Blochmannia pennsylvanicus (Camponotus pennsylvanicus)
bva	Candidatus Blochmannia vafer (Camponotus vafer)
bchr	Candidatus Blochmannia chromaiodes (Camponotus chromaiodes)
hde	Candidatus Hamiltonella defensa (Acyrthosiphon pisum)
sect	Secondary endosymbiont of Ctenarytaina eucalypti
sehc	Secondary endosymbiont of Heteropsylla cubana
dda	Dickeya dadantii Ech703
ddc	Dickeya dadantii Ech586
ddd	Dickeya dadantii 3937
dze	Dickeya zeae
xbo	Xenorhabdus bovienii
xne	Xenorhabdus nematophila
pam	Pantoea ananatis LMG 20103
plf	Pantoea ananatis LMG 5342
paj	Pantoea ananatis AJ13355
paq	Pantoea ananatis PA13
pva	Pantoea vagans
pao	Pantoea sp. At-9b
kln	Pantoea rwandensis
rip	Candidatus Riesia pediculicola
rah	Rahnella sp. Y9602
raq	Rahnella aquatilis CIP 78.65 = ATCC 33071
raa	Rahnella aquatilis HX2
men	Candidatus Moranella endobia PCIT
meo	Candidatus Moranella endobia PCVAL
psi	Providencia stuartii MRSN 2154
psx	Providencia stuartii ATCC 33672
ebt	Shimwellia blattae
mmk	Morganella morganii
ror	Raoultella ornithinolytica
cnt	Cedecea neteri
cem	Cedecea sp. M006
cen	Cedecea sp. ND14a
ced	Cedecea sp. ND14b
pge	Pluralibacter gergoviae
ebf	Enterobacteriaceae bacterium FGI 57
psts	Plautia stali symbiont
hin	Haemophilus influenzae Rd KW20 (serotype d)
hit	Haemophilus influenzae 86-028NP (nontypeable)
hip	Haemophilus influenzae PittEE (nontypeable)
hiq	Haemophilus influenzae PittGG (nontypeable)
hif	Haemophilus influenzae F3031 (nontypeable)
hil	Haemophilus influenzae F3047 (nontypeable)
hiu	Haemophilus influenzae 10810 (serotype b)
hie	Haemophilus influenzae R2846 (nontypeable)
hiz	Haemophilus influenzae R2866 (nontypeable)
hik	Haemophilus influenzae KR494 (serotype f)
hdu	Haemophilus ducreyi
hap	Haemophilus parasuis SH0165
hpaz	Haemophilus parasuis ZJ0906
hpas	Haemophilus parasuis SH03
hpak	Haemophilus parasuis KL0318
hpr	Haemophilus parainfluenzae
hso	Haemophilus somnus 129PT
hsm	Haemophilus somnus 2336
pmu	Pasteurella multocida subsp. multocida Pm70
pmv	Pasteurella multocida subsp. multocida HN06
pul	Pasteurella multocida subsp. multocida 3480
pmp	Pasteurella multocida 36950
pmul	Pasteurella multocida ATCC 43137
msu	Mannheimia succiniciproducens
mht	Mannheimia haemolytica USDA-ARS-SAM-185
mhq	Mannheimia haemolytica USDA-ARS-USMARC-183
mhx	Mannheimia haemolytica M42548
mhae	Mannheimia haemolytica D153
mham	Mannheimia haemolytica D171
mhao	Mannheimia haemolytica D174
mhal	Mannheimia haemolytica USMARC_2286
mvr	Mannheimia varigena USDA-ARS-USMARC-1261
mvi	Mannheimia varigena USDA-ARS-USMARC-1296
mvg	Mannheimia varigena USDA-ARS-USMARC-1312
mve	Mannheimia varigena USDA-ARS-USMARC-1388
apl	Actinobacillus pleuropneumoniae L20 (serotype 5b)
apj	Actinobacillus pleuropneumoniae JL03 (serotype 3)
apa	Actinobacillus pleuropneumoniae AP76 (serotype 7)
asu	Actinobacillus succinogenes
asi	Actinobacillus suis H91-0380
ass	Actinobacillus suis ATCC 33415
aap	Aggregatibacter aphrophilus
aat	Aggregatibacter actinomycetemcomitans D11S-1
aao	Aggregatibacter actinomycetemcomitans ANH9381
aan	Aggregatibacter actinomycetemcomitans D7S-1
aah	Aggregatibacter actinomycetemcomitans HK1651
gan	Gallibacterium anatis
bto	Bibersteinia trehalosi USDA-ARS-USMARC-192
btre	Bibersteinia trehalosi USDA-ARS-USMARC-188
btrh	Bibersteinia trehalosi USDA-ARS-USMARC-189
btra	Bibersteinia trehalosi USDA-ARS-USMARC-190
xfa	Xylella fastidiosa 9a5c
xft	Xylella fastidiosa Temecula1
xfm	Xylella fastidiosa M12
xfn	Xylella fastidiosa M23
xff	Xylella fastidiosa subsp. fastidiosa GB514
xfl	Xylella fastidiosa MUL0034
xfs	Xylella fastidiosa subsp. sandyi Ann-1
xcc	Xanthomonas campestris pv. campestris ATCC 33913
xcb	Xanthomonas campestris pv. campestris 8004
xca	Xanthomonas campestris pv. campestris B100
xcp	Xanthomonas campestris pv. raphani
xcv	Xanthomonas campestris pv. vesicatoria
xac	Xanthomonas citri pv. citri 306
xci	Xanthomonas citri subsp. citri Aw12879
xax	Xanthomonas alfalfae
xao	Xanthomonas axonopodis Xac29-1
xoo	Xanthomonas oryzae pv. oryzae KACC 10331
xom	Xanthomonas oryzae pv. oryzae MAFF311018
xop	Xanthomonas oryzae pv. oryzae PXO99A
xor	Xanthomonas oryzae pv. oryzicola
xal	Xanthomonas albilineans
xfu	Xanthomonas fuscans
sml	Stenotrophomonas maltophilia K279a
smt	Stenotrophomonas maltophilia R551-3
buj	Stenotrophomonas maltophilia JV3
smz	Stenotrophomonas maltophilia D457
psu	Pseudoxanthomonas suwonensis
psd	Pseudoxanthomonas spadix
fau	Frateuria aurantia
rhd	Rhodanobacter denitrificans
dji	Dyella jiangningensis
dja	Dyella japonica
vch	Vibrio cholerae O1 biovar El Tor N16961
vce	Vibrio cholerae O1 2010EL-1786
vcj	Vibrio cholerae MJ-1236
vco	Vibrio cholerae O395
vcr	Vibrio cholerae O395
vcm	Vibrio cholerae M66-2
vci	Vibrio cholerae IEC224
vcl	Vibrio cholerae LMA3984-4
vvu	Vibrio vulnificus CMCP6
vvy	Vibrio vulnificus YJ016
vvm	Vibrio vulnificus MO6-24/O
vvl	Vibrio vulnificus 93U204
vpa	Vibrio parahaemolyticus RIMD 2210633
vpb	Vibrio parahaemolyticus BB22OP
vpk	Vibrio parahaemolyticus O1:K33 CDC_K4557
vpf	Vibrio parahaemolyticus O1:Kuk FDA_R31
vph	Vibrio parahaemolyticus UCM-V493
vha	Vibrio campbellii
vca	Vibrio campbellii
vag	Vibrio alginolyticus
vsp	Vibrio splendidus
vex	Vibrio sp. Ex25
vej	Vibrio sp. EJY3
vfu	Vibrio furnissii
vni	Vibrio nigripulchritudo
van	Vibrio anguillarum 775
lag	Vibrio anguillarum M3
vfi	Aliivibrio fischeri ES114
vfm	Aiivibrio fischeri MJ11
vsa	Aliivibrio salmonicida
ppr	Photobacterium profundum
